index	EXP_ID	GROUP_ID	INDIVIDUAL_ID	COMPOUND_NAME	SINGLE_REPEAT_TYPE	SACRIFICE_PERIOD	DOSE	DOSE_UNIT	DOSE_LEVEL	ALP(IU/L)	TC(mg/dL)	TG(mg/dL)	PL(mg/dL)	TBIL(mg/dL)	DBIL(mg/dL)	GLC(mg/dL)	BUN(mg/dL)	CRE(mg/dL)	Na(meq/L)	K(meq/L)	Cl(meq/L)	Ca(mg/dL)	IP(mg/dL)	TP(g/dL)	RALB(g/dL)	A/G	AST(IU/L)	ALT(IU/L)	LDH(IU/L)	GTP(IU/L)
59	40	21	1	acetaminophen	Single	3 hr	1000	mg/kg	High	871.0	92.0	52.0	147.0	0.21	0.04	196.0	15.0	0.3	139.0	5.3	103.0	10.2	10.8	5.6	3.6	1.8	63.0	36.0	88.0	1.0
64	40	22	1	acetaminophen	Single	6 hr	1000	mg/kg	High	943.0	107.0	47.0	176.0	0.29	0.02	194.0	10.0	0.2	139.0	5.3	104.0	10.2	11.4	5.4	3.4	1.7	63.0	31.0	119.0	1.0
69	40	23	1	acetaminophen	Single	9 hr	1000	mg/kg	High	733.0	94.0	102.0	158.0	0.21	0.14	186.0	14.0	0.4	138.8	6.06	103.9	10.9	9.2	5.9	3.8	1.81	57.0	32.0	129.0	1.0
74	40	24	1	acetaminophen	Single	24 hr	1000	mg/kg	High	1412.0	76.0	135.0	149.0	0.26	0.06	170.0	18.0	0.2	141.0	6.1	106.0	10.4	9.3	5.5	4.0	2.7	73.0	46.0	127.0	2.0
79	42	1	1	acetaminophen	Repeat	4 day	0	mg/kg	Control	678.0	91.0	134.0	166.0	0.27	0.0	218.0	17.0	0.4	143.0	4.3	103.0	10.9	9.2	6.1	3.6	1.4	63.0	37.0	87.0	2.0
84	42	2	1	acetaminophen	Repeat	8 day	0	mg/kg	Control	853.0	109.0	156.0	201.0	0.19	0.02	209.0	19.0	0.5	144.0	5.3	105.0	10.6	9.5	6.2	3.8	1.6	56.0	23.0	132.0	1.0
89	42	3	1	acetaminophen	Repeat	15 day	0	mg/kg	Control	1090.0	58.0	136.0	142.0	0.19	0.04	218.0	23.0	0.4	145.0	4.5	104.0	10.6	8.3	6.1	3.6	1.4	64.0	39.0	101.0	2.0
93	42	4	1	acetaminophen	Repeat	29 day	0	mg/kg	Control	661.0	71.0	134.0	149.0	0.15	0.04	213.0	19.0	0.5	145.0	4.4	103.0	10.3	8.6	6.3	3.8	1.5	60.0	26.0	195.0	1.0
98	42	9	1	acetaminophen	Repeat	4 day	300	mg/kg	Low	730.0	98.0	212.0	206.0	0.27	0.0	211.0	18.0	0.4	141.0	5.5	104.0	10.8	7.8	6.2	3.5	1.3	57.0	40.0	72.0	1.0
103	42	10	1	acetaminophen	Repeat	8 day	300	mg/kg	Low	689.0	75.0	160.0	166.0	0.19	0.02	186.0	19.0	0.4	144.0	5.5	104.0	10.6	8.3	6.1	3.5	1.4	69.0	31.0	140.0	1.0
108	42	11	1	acetaminophen	Repeat	15 day	300	mg/kg	Low	773.0	62.0	219.0	165.0	0.22	0.03	210.0	21.0	0.4	143.0	4.8	104.0	10.2	8.3	6.2	3.7	1.5	67.0	37.0	220.0	1.0
113	42	12	1	acetaminophen	Repeat	29 day	300	mg/kg	Low	757.0	79.0	139.0	166.0	0.19	0.06	241.0	21.0	0.5	142.0	5.6	106.0	10.1	8.2	6.3	3.7	1.4	69.0	32.0	113.0	1.0
118	42	13	1	acetaminophen	Repeat	4 day	600	mg/kg	Middle	855.0	91.0	149.0	182.0	0.24	0.03	163.0	18.0	0.4	141.0	5.8	105.0	10.8	8.6	5.8	3.5	1.5	68.0	33.0	95.0	2.0
123	42	14	1	acetaminophen	Repeat	8 day	600	mg/kg	Middle	882.0	103.0	199.0	217.0	0.21	0.0	204.0	17.0	0.4	143.0	5.6	105.0	10.6	8.4	6.6	3.8	1.4	57.0	28.0	123.0	1.0
128	42	15	1	acetaminophen	Repeat	15 day	600	mg/kg	Middle	775.0	76.0	275.0	184.0	0.26	0.05	185.0	18.0	0.4	142.0	5.9	105.0	10.5	7.4	6.4	4.0	1.7	56.0	34.0	83.0	1.0
133	42	16	1	acetaminophen	Repeat	29 day	600	mg/kg	Middle	779.0	88.0	327.0	213.0	0.2	0.04	176.0	24.0	0.5	144.0	5.4	103.0	11.4	10.7	7.5	4.1	1.2	60.0	28.0	117.0	1.0
138	42	17	1	acetaminophen	Repeat	4 day	1000	mg/kg	High	707.0	114.0	224.0	233.0	0.25	0.03	188.0	21.0	0.4	142.0	5.2	104.0	10.8	8.8	6.4	3.6	1.3	62.0	39.0	122.0	1.0
143	42	18	1	acetaminophen	Repeat	8 day	1000	mg/kg	High	1806.0	75.0	153.0	168.0	0.2	0.03	191.0	16.0	0.3	144.0	5.1	103.0	10.7	8.4	6.3	3.8	1.5	54.0	37.0	124.0	1.0
148	42	19	1	acetaminophen	Repeat	15 day	1000	mg/kg	High	1033.0	82.0	139.0	192.0	0.23	0.02	184.0	17.0	0.2	142.0	5.9	107.0	10.5	7.8	6.2	3.8	1.6	58.0	29.0	121.0	1.0
153	42	20	1	acetaminophen	Repeat	29 day	1000	mg/kg	High	591.0	89.0	298.0	214.0	0.25	0.03	206.0	29.0	0.5	141.0	5.3	102.0	10.7	8.1	6.8	3.7	1.2	52.0	27.0	84.0	0.0
158	61	1	1	isoniazid	Repeat	4 day	0	mg/kg	Control	987.0	76.0	68.0	138.0	0.26	0.03	227.0	18.0	0.5	137.0	5.0	105.0	10.4	6.4	5.6	3.6	1.8	67.0	36.0	80.0	1.0
163	61	2	1	isoniazid	Repeat	8 day	0	mg/kg	Control	1057.0	82.0	76.0	155.0	0.32	0.05	220.0	19.0	0.5	139.0	4.2	103.0	10.5	8.4	5.9	3.9	2.0	61.0	33.0	92.0	1.0
168	61	3	1	isoniazid	Repeat	15 day	0	mg/kg	Control	853.0	73.0	185.0	161.0	0.43	0.0	224.0	21.0	0.7	141.0	4.7	103.0	10.6	7.9	6.1	3.5	1.4	76.0	32.0	272.0	0.0
173	61	4	1	isoniazid	Repeat	29 day	0	mg/kg	Control	839.0	55.0	161.0	120.0	0.12	0.03	215.0	22.0	0.6	143.0	4.2	104.0	9.8	7.6	6.5	3.6	1.2	59.0	31.0	98.0	1.0
178	61	9	1	isoniazid	Repeat	4 day	50	mg/kg	Low	1036.0	78.0	161.0	153.0	0.23	0.0	217.0	16.0	0.5	141.0	4.9	104.0	10.6	8.4	5.9	3.7	1.7	56.0	24.0	102.0	1.0
183	61	10	1	isoniazid	Repeat	8 day	50	mg/kg	Low	692.0	81.0	71.0	137.0	0.24	0.06	240.0	19.0	0.6	140.0	4.4	104.0	10.4	8.4	5.9	3.5	1.5	58.0	25.0	122.0	1.0
188	61	11	1	isoniazid	Repeat	15 day	50	mg/kg	Low	701.0	64.0	181.0	143.0	0.36	0.0	247.0	20.0	0.5	138.0	5.2	106.0	10.3	8.0	5.9	3.8	1.8	66.0	22.0	152.0	1.0
193	61	12	1	isoniazid	Repeat	29 day	50	mg/kg	Low	572.0	61.0	124.0	124.0	0.31	0.03	209.0	24.0	0.6	141.0	4.3	105.0	10.0	6.0	6.0	3.6	1.5	50.0	13.0	89.0	1.0
198	61	13	1	isoniazid	Repeat	4 day	100	mg/kg	Middle	869.0	78.0	94.0	155.0	0.2	0.0	196.0	17.0	0.5	142.0	4.8	105.0	10.6	7.7	6.0	3.8	1.7	55.0	24.0	91.0	1.0
203	61	14	1	isoniazid	Repeat	8 day	100	mg/kg	Middle	966.0	64.0	123.0	135.0	0.31	0.01	212.0	23.0	0.6	141.0	5.0	105.0	10.1	7.8	5.9	3.6	1.6	59.0	19.0	111.0	0.0
208	61	15	1	isoniazid	Repeat	15 day	100	mg/kg	Middle	662.0	60.0	91.0	128.0	0.32	0.0	210.0	23.0	0.5	138.0	4.9	105.0	9.9	6.7	6.1	3.9	1.8	61.0	14.0	143.0	1.0
213	61	16	1	isoniazid	Repeat	29 day	100	mg/kg	Middle	597.0	71.0	130.0	149.0	0.14	0.0	213.0	25.0	0.6	141.0	4.7	102.0	9.8	7.8	6.4	3.8	1.5	52.0	15.0	85.0	1.0
218	61	17	1	isoniazid	Repeat	4 day	200	mg/kg	High	766.0	76.0	93.0	151.0	0.26	0.03	212.0	21.0	0.5	140.0	5.3	105.0	10.9	7.5	6.1	4.0	1.9	45.0	15.0	98.0	1.0
223	61	18	1	isoniazid	Repeat	8 day	200	mg/kg	High	795.0	55.0	54.0	113.0	0.32	0.11	195.0	17.0	0.5	140.0	5.4	105.0	10.3	8.1	5.7	3.6	1.7	51.0	12.0	92.0	2.0
228	61	19	1	isoniazid	Repeat	15 day	200	mg/kg	High	563.0	74.0	111.0	152.0	0.33	0.0	205.0	24.0	0.6	140.0	5.2	107.0	10.6	7.2	6.2	3.8	1.6	47.0	10.0	153.0	0.0
233	61	20	1	isoniazid	Repeat	29 day	200	mg/kg	High	446.0	53.0	43.0	105.0	0.24	0.01	240.0	23.0	0.6	141.0	5.0	107.0	9.5	7.5	5.8	3.6	1.6	40.0	5.0	73.0	1.0
237	66	1	1	carbon tetrachloride	Single	3 hr	0	mg/kg	Control	963.0	76.0	33.0	154.0	0.11	0.07	217.0	13.0	0.4	141.0	3.6	105.0	10.6	8.4	5.6	3.5	1.7	67.0	40.0	171.0	0.0
242	66	2	1	carbon tetrachloride	Single	6 hr	0	mg/kg	Control	1308.0	86.0	76.0	153.0	0.14	0.09	202.0	12.0	0.4	139.0	3.8	103.0	10.2	9.1	5.3	3.1	1.4	70.0	34.0	157.0	1.0
247	66	3	1	carbon tetrachloride	Single	9 hr	0	mg/kg	Control	948.0	88.0	33.0	148.0	0.11	0.06	240.0	10.0	0.4	139.0	4.3	101.0	10.3	11.5	5.5	3.4	1.6	60.0	31.0	110.0	1.0
252	66	4	1	carbon tetrachloride	Single	24 hr	0	mg/kg	Control	1246.0	92.0	144.0	179.0	0.19	0.13	209.0	18.0	0.4	139.0	3.6	100.0	10.6	6.5	5.6	3.6	1.8	70.0	35.0	151.0	1.0
257	66	11	1	carbon tetrachloride	Single	3 hr	30	mg/kg	Low	865.0	95.0	79.0	187.0	0.14	0.1	196.0	11.0	0.4	141.0	3.6	102.0	10.7	9.6	5.5	3.5	1.8	65.0	33.0	145.0	1.0
262	66	12	1	carbon tetrachloride	Single	6 hr	30	mg/kg	Low	1019.0	82.0	92.0	156.0	0.16	0.1	180.0	11.0	0.4	140.0	4.1	103.0	10.8	8.5	5.5	3.5	1.8	66.0	32.0	168.0	0.0
267	66	13	1	carbon tetrachloride	Single	9 hr	30	mg/kg	Low	1219.0	78.0	64.0	155.0	0.13	0.07	189.0	9.0	0.4	140.0	3.9	104.0	10.2	9.6	5.2	3.3	1.7	62.0	30.0	152.0	1.0
272	66	14	1	carbon tetrachloride	Single	24 hr	30	mg/kg	Low	956.0	86.0	56.0	161.0	0.12	0.06	201.0	17.0	0.4	138.0	3.3	102.0	10.8	6.4	5.5	3.3	1.5	65.0	43.0	158.0	1.0
277	66	16	1	carbon tetrachloride	Single	3 hr	100	mg/kg	Middle	914.0	57.0	50.0	116.0	0.13	0.07	181.0	10.0	0.4	142.0	3.7	104.0	10.7	8.0	5.5	3.5	1.8	67.0	37.0	157.0	1.0
282	66	17	1	carbon tetrachloride	Single	6 hr	100	mg/kg	Middle	713.0	78.0	72.0	152.0	0.12	0.07	200.0	13.0	0.4	140.0	3.9	103.0	10.6	9.3	5.6	3.6	1.8	57.0	29.0	138.0	2.0
287	66	18	1	carbon tetrachloride	Single	9 hr	100	mg/kg	Middle	877.0	77.0	110.0	162.0	0.21	0.16	197.0	12.0	0.4	141.0	3.5	102.0	10.9	9.6	5.7	3.4	1.5	59.0	26.0	141.0	1.0
292	66	19	1	carbon tetrachloride	Single	24 hr	100	mg/kg	Middle	1064.0	57.0	43.0	128.0	0.13	0.06	194.0	13.0	0.4	139.0	3.8	105.0	10.6	9.1	5.5	3.4	1.6	76.0	39.0	483.0	1.0
297	66	21	1	carbon tetrachloride	Single	3 hr	300	mg/kg	High	876.0	94.0	146.0	181.0	0.2	0.14	184.0	10.0	0.3	141.0	3.6	105.0	10.6	9.0	5.3	3.1	1.4	62.0	43.0	111.0	1.0
302	66	22	1	carbon tetrachloride	Single	6 hr	300	mg/kg	High	829.0	68.0	63.0	140.0	0.13	0.07	205.0	10.0	0.4	138.0	4.5	104.0	10.6	8.8	5.2	3.4	1.9	68.0	25.0	195.0	0.0
307	66	23	1	carbon tetrachloride	Single	9 hr	300	mg/kg	High	1058.0	61.0	58.0	136.0	0.15	0.1	186.0	10.0	0.4	139.0	4.3	101.0	10.5	10.3	5.2	3.2	1.6	65.0	29.0	191.0	1.0
312	66	24	1	carbon tetrachloride	Single	24 hr	300	mg/kg	High	1589.0	68.0	87.0	147.0	0.15	0.1	179.0	16.0	0.5	139.0	4.0	103.0	10.6	6.6	5.5	3.2	1.4	96.0	47.0	202.0	1.0
317	67	1	1	carbon tetrachloride	Repeat	4 day	0	mg/kg	Control	1082.0	86.0	127.0	166.0	0.15	0.1	228.0	20.0	0.5	139.0	4.0	101.0	10.8	6.6	5.6	3.2	1.3	66.0	37.0	185.0	1.0
322	67	2	1	carbon tetrachloride	Repeat	8 day	0	mg/kg	Control	866.0	79.0	134.0	163.0	0.19	0.14	204.0	15.0	0.5	138.0	4.4	102.0	10.8	7.1	5.4	3.5	1.8	61.0	33.0	153.0	0.0
327	67	3	1	carbon tetrachloride	Repeat	15 day	0	mg/kg	Control	632.0	71.0	105.0	150.0	0.15	0.09	204.0	17.0	0.5	141.0	3.6	103.0	10.3	6.6	6.0	3.7	1.6	63.0	28.0	246.0	0.0
332	67	4	1	carbon tetrachloride	Repeat	29 day	0	mg/kg	Control	691.0	68.0	116.0	137.0	0.14	0.09	231.0	18.0	0.5	141.0	3.9	101.0	10.6	6.6	6.0	3.5	1.4	55.0	28.0	189.0	1.0
337	67	9	1	carbon tetrachloride	Repeat	4 day	30	mg/kg	Low	1057.0	84.0	79.0	145.0	0.16	0.12	199.0	18.0	0.4	139.0	3.8	103.0	10.9	7.5	5.8	3.3	1.3	65.0	42.0	180.0	2.0
342	67	10	1	carbon tetrachloride	Repeat	8 day	30	mg/kg	Low	1293.0	67.0	139.0	162.0	0.14	0.1	201.0	15.0	0.4	141.0	4.5	106.0	10.5	6.2	5.4	3.3	1.6	79.0	48.0	199.0	1.0
347	67	11	1	carbon tetrachloride	Repeat	15 day	30	mg/kg	Low	653.0	72.0	45.0	144.0	0.13	0.06	217.0	17.0	0.4	141.0	3.3	102.0	10.7	7.7	6.1	3.8	1.7	84.0	44.0	214.0	1.0
352	67	12	1	carbon tetrachloride	Repeat	29 day	30	mg/kg	Low	752.0	62.0	92.0	141.0	0.15	0.09	213.0	18.0	0.5	141.0	3.7	102.0	11.0	7.1	6.5	3.8	1.4	88.0	51.0	276.0	0.0
357	67	13	1	carbon tetrachloride	Repeat	4 day	100	mg/kg	Middle	1336.0	51.0	44.0	120.0	0.14	0.08	148.0	13.0	0.4	141.0	4.4	106.0	10.8	5.8	5.2	3.2	1.6	362.0	132.0	446.0	2.0
362	67	14	1	carbon tetrachloride	Repeat	8 day	100	mg/kg	Middle	1108.0	62.0	79.0	146.0	0.15	0.11	187.0	20.0	0.5	140.0	4.4	103.0	10.4	6.2	5.3	3.2	1.5	200.0	84.0	228.0	2.0
367	67	15	1	carbon tetrachloride	Repeat	15 day	100	mg/kg	Middle	982.0	87.0	36.0	159.0	0.12	0.06	190.0	15.0	0.5	143.0	3.6	106.0	10.5	7.1	5.8	3.6	1.6	159.0	131.0	341.0	0.0
372	67	16	1	carbon tetrachloride	Repeat	29 day	100	mg/kg	Middle	784.0	53.0	34.0	113.0	0.12	0.06	192.0	19.0	0.5	141.0	3.9	102.0	10.3	5.6	6.0	3.3	1.2	139.0	108.0	321.0	1.0
377	67	17	1	carbon tetrachloride	Repeat	4 day	300	mg/kg	High	1421.0	51.0	50.0	119.0	0.12	0.07	183.0	15.0	0.4	140.0	3.7	104.0	10.9	5.9	5.1	3.0	1.4	189.0	81.0	334.0	1.0
382	67	18	1	carbon tetrachloride	Repeat	8 day	300	mg/kg	High	1133.0	60.0	37.0	132.0	0.13	0.07	177.0	15.0	0.4	140.0	4.1	104.0	10.2	8.8	5.4	3.3	1.6	165.0	61.0	341.0	1.0
387	67	19	1	carbon tetrachloride	Repeat	15 day	300	mg/kg	High	2096.0	30.0	13.0	80.0	0.13	0.07	180.0	18.0	0.5	142.0	3.7	105.0	10.1	6.9	5.6	3.3	1.4	259.0	171.0	459.0	2.0
392	67	20	1	carbon tetrachloride	Repeat	29 day	300	mg/kg	High	1089.0	40.0	56.0	116.0	0.14	0.09	187.0	23.0	0.5	143.0	4.0	104.0	10.8	5.7	6.0	3.6	1.5	210.0	158.0	338.0	1.0
397	90	1	1	valproic acid	Single	3 hr	0	mg/kg	Control	1121.0	68.0	62.0	131.0	0.13	0.07	213.0	11.0	0.4	138.0	4.2	100.0	10.3	9.6	5.0	3.1	1.6	77.0	43.0	132.0	1.0
402	90	2	1	valproic acid	Single	6 hr	0	mg/kg	Control	813.0	79.0	86.0	151.0	0.14	0.07	192.0	9.0	0.4	139.0	3.8	102.0	10.5	10.0	5.4	3.3	1.6	66.0	35.0	169.0	0.0
407	90	3	1	valproic acid	Single	9 hr	0	mg/kg	Control	800.0	67.0	80.0	132.0	0.14	0.07	225.0	12.0	0.4	142.0	3.8	103.0	10.7	9.8	5.4	3.5	1.8	67.0	32.0	145.0	1.0
412	90	4	1	valproic acid	Single	24 hr	0	mg/kg	Control	1072.0	76.0	143.0	174.0	0.16	0.09	202.0	21.0	0.4	138.0	4.6	101.0	10.5	6.8	5.4	3.3	1.6	64.0	39.0	170.0	1.0
417	90	5	1	valproic acid	Single	3 hr	45	mg/kg	Low	987.0	78.0	63.0	144.0	0.13	0.07	191.0	13.0	0.5	140.0	4.1	102.0	11.2	7.7	5.3	3.3	1.7	67.0	43.0	116.0	0.0
422	90	6	1	valproic acid	Single	6 hr	45	mg/kg	Low	1058.0	61.0	88.0	122.0	0.13	0.07	192.0	15.0	0.5	141.0	4.0	104.0	10.6	8.8	5.1	3.5	2.2	101.0	50.0	235.0	1.0
427	90	7	1	valproic acid	Single	9 hr	45	mg/kg	Low	865.0	76.0	70.0	147.0	0.12	0.07	211.0	14.0	0.5	141.0	4.0	101.0	10.7	10.4	5.3	3.2	1.5	58.0	30.0	166.0	0.0
432	90	8	1	valproic acid	Single	24 hr	45	mg/kg	Low	1029.0	88.0	152.0	184.0	0.18	0.12	197.0	17.0	0.4	139.0	4.2	102.0	10.8	7.6	5.8	3.7	1.8	65.0	37.0	171.0	1.0
437	90	9	1	valproic acid	Single	3 hr	150	mg/kg	Middle	906.0	88.0	51.0	154.0	0.1	0.06	202.0	11.0	0.4	142.0	3.8	103.0	10.9	7.9	5.5	3.5	1.8	60.0	36.0	130.0	0.0
442	90	10	1	valproic acid	Single	6 hr	150	mg/kg	Middle	1214.0	64.0	56.0	123.0	0.12	0.06	192.0	13.0	0.4	140.0	4.2	104.0	10.9	8.7	5.5	3.4	1.6	68.0	37.0	176.0	1.0
447	90	11	1	valproic acid	Single	9 hr	150	mg/kg	Middle	804.0	64.0	64.0	126.0	0.12	0.06	194.0	12.0	0.4	140.0	3.9	101.0	10.6	10.2	5.7	3.6	1.7	72.0	26.0	198.0	0.0
452	90	12	1	valproic acid	Single	24 hr	150	mg/kg	Middle	850.0	90.0	145.0	188.0	0.16	0.1	185.0	16.0	0.4	141.0	4.7	102.0	11.0	8.2	5.9	3.6	1.6	75.0	39.0	188.0	0.0
457	90	13	1	valproic acid	Single	3 hr	450	mg/kg	High	975.0	61.0	75.0	119.0	0.11	0.05	177.0	10.0	0.4	142.0	3.7	100.0	10.4	9.2	5.5	3.3	1.5	76.0	43.0	147.0	1.0
462	90	14	1	valproic acid	Single	6 hr	450	mg/kg	High	959.0	69.0	110.0	140.0	0.13	0.07	190.0	11.0	0.4	142.0	3.8	102.0	10.6	10.2	5.4	3.3	1.6	64.0	33.0	171.0	1.0
467	90	15	1	valproic acid	Single	9 hr	450	mg/kg	High	764.0	51.0	28.0	103.0	0.1	0.05	184.0	15.0	0.4	141.0	4.5	103.0	10.2	11.7	5.3	3.1	1.4	63.0	29.0	326.0	1.0
472	90	16	1	valproic acid	Single	24 hr	450	mg/kg	High	961.0	66.0	89.0	140.0	0.15	0.11	181.0	19.0	0.4	138.0	4.4	100.0	11.2	7.1	5.5	3.5	1.8	71.0	50.0	146.0	0.0
477	91	1	1	valproic acid	Repeat	4 day	0	mg/kg	Control	941.0	54.0	72.0	109.0	0.14	0.08	216.0	16.0	0.4	138.0	4.1	102.0	10.6	6.8	5.4	3.2	1.5	63.0	33.0	181.0	1.0
482	91	2	1	valproic acid	Repeat	8 day	0	mg/kg	Control	872.0	87.0	94.0	167.0	0.15	0.09	216.0	16.0	0.4	141.0	4.1	100.0	10.6	8.1	5.8	3.5	1.5	60.0	31.0	148.0	1.0
487	91	3	1	valproic acid	Repeat	15 day	0	mg/kg	Control	760.0	80.0	135.0	175.0	0.14	0.08	308.0	20.0	0.5	139.0	3.8	98.0	10.8	7.5	5.9	3.7	1.7	66.0	38.0	177.0	1.0
492	91	4	1	valproic acid	Repeat	29 day	0	mg/kg	Control	595.0	66.0	158.0	151.0	0.14	0.08	228.0	18.0	0.5	139.0	4.8	101.0	10.2	7.1	6.0	3.7	1.6	52.0	31.0	145.0	1.0
497	91	5	1	valproic acid	Repeat	4 day	45	mg/kg	Low	993.0	72.0	76.0	150.0	0.12	0.08	211.0	15.0	0.4	138.0	4.6	101.0	10.6	8.8	5.5	3.2	1.4	71.0	34.0	177.0	2.0
502	91	6	1	valproic acid	Repeat	8 day	45	mg/kg	Low	827.0	69.0	68.0	129.0	0.14	0.1	243.0	16.0	0.4	139.0	3.4	102.0	10.5	7.7	5.5	3.4	1.6	60.0	33.0	140.0	2.0
507	91	7	1	valproic acid	Repeat	15 day	45	mg/kg	Low	847.0	63.0	113.0	132.0	0.15	0.1	288.0	16.0	0.5	139.0	4.2	99.0	10.8	7.6	5.8	3.1	1.1	60.0	33.0	167.0	1.0
512	91	8	1	valproic acid	Repeat	29 day	45	mg/kg	Low	692.0	69.0	166.0	158.0	0.15	0.11	203.0	18.0	0.5	139.0	4.2	100.0	10.6	7.4	5.7	3.2	1.3	62.0	38.0	181.0	1.0
517	91	9	1	valproic acid	Repeat	4 day	150	mg/kg	Middle	879.0	72.0	110.0	159.0	0.15	0.11	208.0	19.0	0.5	140.0	4.3	103.0	10.6	6.7	5.7	3.7	1.9	80.0	44.0	218.0	1.0
522	91	10	1	valproic acid	Repeat	8 day	150	mg/kg	Middle	675.0	72.0	119.0	160.0	0.11	0.07	234.0	15.0	0.3	139.0	3.8	101.0	9.9	6.8	5.5	3.3	1.5	47.0	26.0	150.0	1.0
527	91	11	1	valproic acid	Repeat	15 day	150	mg/kg	Middle	830.0	73.0	103.0	153.0	0.12	0.07	234.0	16.0	0.5	139.0	4.7	101.0	10.7	8.3	5.9	3.3	1.3	66.0	37.0	175.0	0.0
532	91	12	1	valproic acid	Repeat	29 day	150	mg/kg	Middle	593.0	59.0	183.0	136.0	0.22	0.17	202.0	20.0	0.5	140.0	4.1	103.0	10.3	6.6	5.8	3.4	1.4	55.0	29.0	132.0	0.0
537	91	13	1	valproic acid	Repeat	4 day	450	mg/kg	High	1078.0	69.0	78.0	141.0	0.11	0.07	218.0	15.0	0.4	140.0	3.7	103.0	10.7	8.4	5.2	3.4	1.9	67.0	35.0	179.0	1.0
542	91	14	1	valproic acid	Repeat	8 day	450	mg/kg	High	1059.0	57.0	121.0	128.0	0.14	0.1	227.0	15.0	0.4	139.0	4.1	102.0	10.5	7.7	5.6	3.4	1.5	69.0	39.0	180.0	2.0
547	91	15	1	valproic acid	Repeat	15 day	450	mg/kg	High	647.0	82.0	115.0	162.0	0.14	0.1	204.0	20.0	0.5	140.0	4.1	102.0	10.9	6.8	5.8	3.2	1.2	66.0	29.0	168.0	2.0
552	91	16	1	valproic acid	Repeat	29 day	450	mg/kg	High	508.0	58.0	109.0	130.0	0.15	0.1	203.0	19.0	0.5	141.0	3.9	104.0	10.3	5.2	5.4	3.2	1.5	58.0	26.0	126.0	1.0
