Name,HSE,smiles
NCGC00186653-01,0,N1(c2c(Sc3c1cccc3)ccc(C(F)(F)F)c2)CCCN1CCN(CC1)C.Cl.Cl	
NCGC00025302-02,1,c1ccc2c(c1)c(=O)n(CCN1CCC(CC1)C(=O)c1ccc(cc1)F)c(=S)[nH]2.Cl	
NCGC00262908-01,1,Clc1cc2c(cc1)c(=O)[nH]s2	
NCGC00179642-03,1,c1(CO[C@@H](c2c(cc(cc2)Cl)Cl)Cn2cncc2)c(Cl)cccc1Cl	
NCGC00013683-06,0,c1ccc2c(c1)/C(=C\CCN(C)C)/c1c(S2)ccc(Cl)c1	
NCGC00015563-13,0,N1(c2c(CCc3c1cccc3)cccc2)CCCN(C)C	
NCGC00179536-02,0,c12c3O[C@@](C2=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]([C@H](/C=C/C=C(\C(=O)Nc2c(c(c1c(c2O)c(c3C)O)O)/C=N/N1CCN(CC1)C)/C)C)O)C)O)C)OC(=O)C)C)OC)C	
NCGC00160483-02,0,CN1CCN(CC1)CCC(=O)N1c2ccccc2Sc2ccc(cc12)C(F)(F)F	
NCGC00015856-10,0,N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCN1CCN(CC1)C.C(=O)(/C=C\C(=O)O)O.C(=O)(/C=C\C(=O)O)O	
NCGC00181016-04,1,c12c(C(CCC2(C)C)(C)C)cc(c(c1)C(=C)c1ccc(cc1)C(=O)O)C	
NCGC00274067-01,1,Cc1ccc(cc1C)N1N=C(C)/C(=N\Nc2cccc(c2O)c2cccc(c2)C(=O)O)/C1=O	
NCGC00263543-01,0,[C@@H]12C[C@](c3c(c4ccccc4[nH]3)CCN(C1)C[C@@](C2)(CC)O)(C(=O)OC)c1cc2[C@]34[C@@H]5[C@]([C@H]([C@]([C@@H]3N(c2cc1OC)C=O)(O)C(=O)OC)OC(=O)C)(C=CCN5CC4)CC	
NCGC00263581-01,1,[C@@]12([C@@H]3[C@H]([C@H]4[C@@]([C@](CC4)(O)C)(CC3)C)CC[C@H]2CC(=O)/C(=C\O)/C1)C	
NCGC00095264-04,1,c1(Cl)cc(Cl)c2c(c1O)nccc2	
NCGC00253604-01,0,c12[nH]c3c(c1CCN1[C@@H]2C[C@@H]2[C@@H]([C@H]([C@@H](C[C@@H]2C1)OC(=O)/C=C/c1cc(c(cc1)O)OC)OC)C(=O)OC)ccc(c3)OC	
NCGC00344543-01,0,c12c(C(=O)c3c(C1=O)cccc3OC)c(c1c(c2O)C[C@](C[C@@H]1O[C@@H]1O[C@H]([C@H]([C@H](C1)N)O[C@@H]1CCCCO1)C)(C(=O)CO)O)O	
NCGC00015826-13,0,c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1c(S2)ccc(Cl)c1	
NCGC00160664-03,1,Oc1ccc(c2c1nccc2)N(=O)=O	
NCGC00018258-10,1,ON(=O)=O.Clc1ccc(CO[C@@H](Cn2ccnc2)c2c(Cl)cc(Cl)cc2)cc1	
NCGC00095169-05,0,CCCCCCCCCCCCCCCCO[P@](=O)([O-])OCC[N+](C)(C)C	
NCGC00249921-01,1,C(=C(\n1cncc1)/C)(/c1c(cc(cc1)Cl)Cl)\OCCOc1ccc(Cl)cc1	
NCGC00181129-06,0,N1(CCN(CC1)CCO)c1nc(nc(c1)Nc1sc(cn1)C(=O)Nc1c(cccc1C)Cl)C	
NCGC00095196-06,0,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(ccc21)OCCN(CC)CC	
NCGC00161602-06,0,[C@]12([C@H]([C@@H](C(=C(C2=O)C(=O)N)O)N(C)C)[C@H]([C@H]2C(=C1O)C(=O)c1c([C@@H]2C)cccc1O)O)O.Cl	
NCGC00017323-08,0,Cl.[C@]12(C(=C3C(=O)c4c([C@]([C@H]3C[C@H]2[C@@H](C(=C(C1=O)C(=O)N)O)N(C)C)(O)C)cccc4O)O)O	
NCGC00262926-01,1,Nc1c(S)ccc(c1)C(F)(F)F.Cl	
NCGC00166142-04,0,C(=O)(Nc1ccccc1)O[C@H](CN1CCCCC1)COC(=O)Nc1ccccc1.Cl	
NCGC00165740-05,1,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl	
NCGC00091195-08,1,Oc1c(cc(c(c1Cc1c(c(cc(c1Cl)Cl)Cl)O)Cl)Cl)Cl	
NCGC00160556-02,1,Oc1c(cc(I)cc1I)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)c(c1)Cl	
NCGC00159417-05,1,O(c1c(cc(cc1)Cl)Cl)c1c(cc(cc1)Cl)O	
NCGC00164034-05,0,O=C(Nc1ccc(cc1)Cl)Nc1ccc(c(Cl)c1)Cl	
NCGC00164581-02,0,[C@]12([C@H]([C@H]3[C@@H](c4c(cc(OC(=O)N(CCCl)CCCl)cc4)CC3)CC1)CC[C@@H]2O)C	
NCGC00015254-20,0,c1(Cl)ccc2c(c1)N=C(N1CCN(C)CC1)c1c(N2)cccc1	
NCGC00024778-02,0,CNCCCCOc1c(Cc2ccccc2)cccc1	
NCGC00024379-16,0,c12c(cc(c(c1)OC)OC)[C@H](NCC2)C[C@@H]1[C@H](CN2[C@@H](C1)c1c(CC2)cc(c(c1)OC)OC)CC	
NCGC00163468-05,0,[C@@]12([C@H]3N[C@H]3CN1C1=C([C@H]2COC(=O)N)C(=O)C(=C(C1=O)C)N)OC	
NCGC00025060-15,0,Nc1c2c(nc(n1)N)ncc(n2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C	
NCGC00263568-01,0,[C@H]12C[C@](c3c(c4ccccc4[nH]3)CN(C1)CC(=C2)CC)(C(=O)OC)c1cc2[C@]34[C@@H]5[C@]([C@H]([C@]([C@@H]3N(c2cc1OC)C)(O)C(=O)OC)OC(=O)C)(C=CCN5CC4)CC.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O	
NCGC00016786-15,0,c12c(c(c(c(c1O)C/C=C(/CCC(=O)O)\C)OC)C)COC2=O	
NCGC00091120-13,0,O=C1c2c(O[C@]31C(=CC(=O)C[C@H]3C)OC)c(Cl)c(OC)cc2OC	
NCGC00169964-05,0,[C@@H]1(C[C@@H](C(=O)[C@@H](C1)[C@@H](CC1CC(=O)NC(=O)C1)O)C)C	
NCGC00015774-06,0,c1(=O)n(c2c([nH]1)cccc2)CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1	
NCGC00015718-12,0,c1ccc2c(c1OC[C@@H](CN1CCN(c3c(OC)cccc3)CC1)O)cccc2	
NCGC00160566-02,1,c1cc(nc2c1c(cc(c2O)Br)Br)C	
NCGC00160554-02,1,S(=O)(c1c(c(cc(c1)Cl)Cl)O)c1c(c(cc(c1)Cl)Cl)O	
NCGC00159458-05,0,c1(c(n(c(c1c1ccccc1)c1ccc(cc1)F)CC[C@H](C[C@H](CC(=O)[O-])O)O)C(C)C)C(=O)Nc1ccccc1.c1(c(n(c(c1c1ccccc1)c1ccc(cc1)F)CC[C@H](C[C@H](CC(=O)[O-])O)O)C(C)C)C(=O)Nc1ccccc1.[Ca+2]	
NCGC00160590-03,0,Brc1ccc(cc1)C1C(=O)c2ccccc2C1=O	
NCGC00263480-01,0,[C@@]12(C(=CC(=O)CC2)[C@H](C[C@@H]2[C@@H]1CC[C@@]1([C@@](CC[C@@H]21)(OC(=O)C)C(=O)C)C)C)C	
NCGC00163125-06,0,[C@@]12([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@H](CC4)O)C)CC2)CC[C@@H]1C(=O)C)C	
NCGC00164139-03,0,c1(O)c(cc(cc1)C(CC(C)(C)C)(C)C)n1nc2c(n1)cccc2	
NCGC00159462-04,0,C(=O)(N(Cc1nc(sc1)C(C)C)C)N[C@@H](C(C)C)C(=O)N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(=O)OCc1cncs1)O)Cc1ccccc1	
NCGC00182059-03,0,c1c(ccc(c1C#N)OCC(C)C)c1sc(c(n1)C)C(=O)O	
NCGC00015155-11,0,N(C[C@H](N1CCCC1)COCC(C)C)(Cc1ccccc1)c1ccccc1	
NCGC00167500-02,1,c1(C)c(OC)cc(C)c(/C=C/C(=C/C=C/C(=C/C(=O)OCC)/C)/C)c1C	
NCGC00091585-05,0,c1ccc(C(=C(C#N)C(=O)OC[C@@H](CC)CCCC)c2ccccc2)cc1	
NCGC00182850-02,0,c1(n2c(nc1c1ccc(cc1)Cl)ccc(c2)Cl)CC(=O)N(CCC)CCC	
NCGC00262942-01,0,CCC(=C(c1ccccc1)c1ccccc1)CN.Cl	
NCGC00178069-05,0,N1(CCO[C@@H](c2ccc(cc2)Cl)c2ccccc2)CCCCC1.Cl	
NCGC00250401-02,0,Clc1c(c2oc3c(c(cc(c3[C@@H]3[C@@H](CN(CC3)C)O)O)O)c(=O)c2)cccc1.Cl	
NCGC00016246-09,0,C(=N)(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1	
NCGC00253658-01,0,N([C@@H](CCOc1cccc2c1cccc2)c1ccccc1)(C)C	
NCGC00164483-03,0,c12c(cc(cc1)C(=O)OCCN(C)C)c(c(n2CCN(C)C)C)C	
NCGC00160412-04,0,c1(c(n(c2c1cc(cc2)C(=O)OCCN(C)C)Cc1ccccc1)C)C	
NCGC00022001-13,0,COc1c(OC)c(cc(c1)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)c2cc3c(OCO3)cc12)OC	
NCGC00091250-12,0,c12[nH]c3c(c1CCN1[C@@H]2C[C@@H]2[C@@H]([C@H]([C@H](OC(=O)c4cc(c(c(c4)OC)OC)OC)C[C@@H]2C1)OC)C(=O)OC)ccc(c3)OC	
NCGC00319019-01,0,CO[C@@H]1CN(CCO1)[C@@H]1C[C@@H](O[C@H](C)[C@H]1O)O[C@@H]1C[C@@](O)(Cc2c(O)c3c(c(c12)O)C(=O)c1c(OC)cccc1C3=O)C(=O)CO	
NCGC00159456-11,0,C1N(CCN(C1)Cc1ccc(cc1)C(=O)Nc1cc(c(cc1)C)Nc1nccc(n1)c1cccnc1)C.CS(=O)(=O)O	
NCGC00018158-09,0,c1(nc(c2c(n1)cc(c(c2)OC)OC)N)N1CCN(C(=O)[C@@H]2Oc3c(OC2)cccc3)CC1.CS(=O)(=O)O	
NCGC00094574-15,0,n1(c2c(cc(cc2Cl)C(F)(F)F)Cl)c(c(c(n1)C#N)[S@](=O)C(F)(F)F)N	
NCGC00262950-01,0,c1(ccc(cc1)C(=O)C1CCN(CC1)CCc1c(nc2n(c1=O)CCS2)C)F	
NCGC00160408-03,1,c1(c(oc2c1cccc2)CC)C(=O)c1cc(c(c(c1)I)O)I	
NCGC00095082-06,0,c1c(I)c(N)c(I)c(C[C@@H](C(=O)O)CC)c1I	
NCGC00091455-09,0,c1(S(=O)(=O)N)ccc(n2nc(C(F)(F)F)cc2c2ccc(C)cc2)cc1	
NCGC00319023-02,0,CN1Cc2c(N[C@@H](CC(=O)O)C1=O)ccc(c2)C(=O)N1CC[C@H](CC1)C1CCNCC1	
NCGC00168085-05,0,c1c(cccc1)NC(=O)CCCCCCC(=O)NO	
NCGC00160373-02,0,Nc1ccc(cc1)C(=O)Nc1ccccc1N	
NCGC00178737-05,0,C[C@@H](CN(C)C)CN1c2c(Sc3c1cccc3)cccc2.C[C@@H](CN(C)C)CN1c2c(Sc3c1cccc3)cccc2.O[C@@H]([C@@H](O)C(=O)O)C(=O)O	
NCGC00263572-01,0,n1c(n(nc1c1c(cccc1)O)c1ccc(cc1)C(=O)O)c1c(cccc1)O	
NCGC00015360-08,0,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O	
NCGC00016876-12,1,COC(=O)Nc1[nH]c2c(cc(cc2)SCCC)n1	
NCGC00017257-14,0,c12c3c(ccc1)n(cc3C[C@@H]1[C@@H]2C[C@H](CN1C)CNC(=O)OCc1ccccc1)C	
NCGC00262533-02,0,n12c3c(c4c2cccc4)CCN2[C@H]3[C@](CC1=O)(CCC2)CC	
NCGC00164590-02,0,[C@@]12(OC(=O)CC1)[C@]1(CC[C@@H]3[C@]4(CCC(=O)C=C4[C@H]4[C@@H]([C@H]3[C@@H]1[C@H]1[C@@H]2C1)C4)C)C	
NCGC00159544-03,0,c12n(c3c(CO[C@@]1(CN1CC[C@H](CC1)n1c4c([nH]c1=O)cccc4)C)cccc3)ccc2	
NCGC00025212-08,0,C1C[C@H]2O[C@@H]1[C@]1([C@@]2(C(=O)OC1=O)C)C	
NCGC00263565-01,0,[C@@]12([C@H]([C@H]3[C@@H]([C@@H]4C(=CC(=O)CC4)CC3)CC2)C=C[C@]1(C#C)O)CC	
NCGC00163778-09,1,c1(c(cc(cc1)Cl)Cl)[C@H](Cn1cncc1)OCC=C.S(=O)(=O)(O)O	
NCGC00016765-09,0,c1(C(=O)O)cc(c2c(F)cc(F)cc2)ccc1O	
NCGC00253742-01,0,CCOC(=O)C(c1c(O)c2c(oc1=O)cccc2)c1c(O)c2c(oc1=O)cccc2	
NCGC00188346-02,0,Nc1ncnc2c1c(c1cc3c(ccc(O)c3)[nH]1)nn2C(C)C	
NCGC00091532-06,0,Oc1c(cc(cc1)Cl)Cc1ccccc1	
NCGC00164625-04,0,[Na+].CC(C)c1nc(c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(c1COC)c1ccc(F)cc1)C(C)C	
NCGC00091183-04,0,Oc1c(Br)cc(Br)cc1Br	
NCGC00249891-01,0,c1cc([C@H](OCCN(C)C)c2ccc(Br)cc2)ccc1	
NCGC00094561-06,0,C1([C@@H]([C@H]1C(=O)OCc1cc(Oc2ccccc2)ccc1)C=C(C)C)(C)C	
NCGC00023064-05,0,[C@@]12(C(=CC(=O)CC2)[C@H](C[C@@H]2[C@@H]1CC[C@@]1([C@](CC[C@@H]21)(C(=O)C)O)C)C)C	
NCGC00024246-15,0,CC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1	
NCGC00263521-01,0,[C@]12([C@@]3([C@H]([C@H]4[C@@H]([C@@]5(C(=CC(=O)C=C5)CC4)C)[C@H](C3)O)C[C@H]2OC(=N1)C)C)C(=O)COC(=O)C	
NCGC00159346-04,0,c1ccc2c(c1)c(CN(C)C/C=C/C#CC(C)(C)C)ccc2	
NCGC00166086-03,0,CC(C)CCC[C@@H](C)N	
NCGC00018139-07,0,c1(c(=O)c2c(oc1)cc(OC(C)C)cc2)c1ccccc1	
NCGC00179385-03,0,c1(=O)c(c(n(n1c1ccccc1)C)CN([C@H](C)Cc1ccccc1)C)C(C)C	
NCGC00015714-16,0,c1cc([C@@H]2C(=C(C)NC(=C2C(=O)OCCOC)C)C(=O)OC(C)C)cc(N(=O)=O)c1	
NCGC00016960-07,0,C1N(C(=O)C(=C1C)CC)C(=O)NCCc1ccc(S(=O)(=O)NC(=O)N[C@H]2CC[C@@H](CC2)C)cc1	
NCGC00016610-07,0,C(=S)(N(c1cc(ccc1)C)C)Oc1cc2c(cc1)cccc2	
NCGC00253726-01,0,CN1CCc2c(C1)c1c(ccc(c1)Cl)n2CCc1cnc(C)cc1	
NCGC00016384-15,0,O=S(=O)(c1ccc(cc1)N)Nc1c(c(no1)C)C	
NCGC00249925-01,0,Cc1nc(c(o1)c1ccc(c(c1)F)S(=O)(=O)N)C1CCCCC1	
NCGC00015819-15,0,c1(C(=O)CCc2ccccc2)c(OC[C@H](O)CNCCC)cccc1	
NCGC00024777-04,0,CCN(CC)C(=O)c1ccc(cc1)[C@@H](N1C[C@@H](C)N(CC=C)C[C@@H]1C)c1cccc(c1)OC	
NCGC00178697-04,0,Cl.CCc1c2Cn3c(=O)c4c(cc3c2nc2ccc(OC(=O)N3CC[C@H](CC3)N3CCCCC3)cc12)[C@@](O)(CC)C(=O)OC4	
NCGC00013130-04,0,Cc1nc2ccc(NC(=O)Nc3ccc4nc(C)cc(N)c4c3)cc2c(c1)N.Cl.Cl	
NCGC00165846-04,0,n1(c(nn(c1=O)CCCN1CCN(CC1)c1cc(ccc1)Cl)CC)CCOc1ccccc1.Cl	
NCGC00167537-02,0,COc1c(OC)cc2C(=O)[C@@H](CC3CCN(CC3)Cc3ccccc3)Cc2c1.Cl	
NCGC00168254-02,0,c1c(Cl)cc2c(c1)n1c(CN=C2c2ccccc2F)cnc1C.Cl	
NCGC00015985-08,0,CCCCNc1c(C(=O)OCC)c(nc2c1cnn2CC)C.Cl	
NCGC00018100-08,0,C1NCCN(CC1)S(=O)(=O)c1cccc2c1ccnc2.Cl	
NCGC00253702-01,0,Clc1ccc2Sc3ccccc3Nc2c1	
NCGC00168464-04,0,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.Cc1ccc(cc1)S(=O)(=O)[O-]	
NCGC00253606-01,0,C[C@H]1CO[C@]2(N1CC(=O)Nc1ccc(Cl)cc21)c1ccccc1Cl	
NCGC00271513-02,0,c1(Cl)cccc(Cl)c1O[C@H](C)C1=NCCN1	
NCGC00253713-01,1,Clc1cc(c(cc1)[C@H](Cn1ccnc1)OCc1ccc(Sc2ccccc2)cc1)Cl	
NCGC00025179-12,0,C12=C3C(=CC(=O)CC3)CC[C@H]1[C@H]1[C@](C[C@@H]2c2ccc(N(C)C)cc2)([C@](C#CC)(CC1)O)C	
NCGC00017400-10,0,[C@]12(N([C@H](C(=O)N3[C@H]1CCC3)Cc1ccccc1)C(=O)[C@@](O2)(NC(=O)[C@@H]1C[C@@H]2c3c4c(C[C@H]2N(C1)C)c[nH]c4ccc3)C)O	
NCGC00163169-05,0,c1ccc2c(c1)CCc1c(C2=C2CCN(C)CC2)ccs1	
NCGC00262954-01,0,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3c(C)oc(n3)c3ccccc3)cc2)cc1	
NCGC00015928-05,0,C\1(=C/c2ccc(S(=O)(=O)C)cc2)/C(=C(c2c1ccc(c2)F)CC(=O)O)C	
NCGC00160398-05,0,C(=O)(Oc1cc2c(cc(C(=N)N)cc2)cc1)c1ccc(NC(=N)N)cc1.S(=O)(=O)(O)C	
NCGC00161601-02,0,OC(=O)CC1=C(C)/C(=C/c2ccc(SC)cc2)/c2c1cc(cc2)F	
NCGC00016490-12,0,c1cccc(Nc2cc(C(F)(F)F)ccc2)c1C(=O)O	
NCGC00249900-01,0,Nc1ccccc1C(=O)OC[C@@H](O)CO	
NCGC00188865-03,0,Cc1c2ccc(N(c3nc(Nc4cc(S(=O)(=O)N)c(C)cc4)ncc3)C)cc2nn1C	
NCGC00015870-27,0,O=c1c2c(cc(cc2O)O)oc(c1O)c1cc(c(cc1)O)O	
