Name,ER-LBD,smiles
NCGC00344561-01,1,[C@]12([C@@](C#C)(OC(=O)C)CC[C@H]1[C@H]1[C@@H]([C@@H]3C(=C/C(=N/O)/CC3)CC1)CC2)CC	
NCGC00181129-06,0,N1(CCN(CC1)CCO)c1nc(nc(c1)Nc1sc(cn1)C(=O)Nc1c(cccc1C)Cl)C	
NCGC00159449-04,0,c1ccc(C(C(=O)SCCN(CC)CC)c2ccccc2)cc1	
NCGC00161602-06,0,[C@]12([C@H]([C@@H](C(=C(C2=O)C(=O)N)O)N(C)C)[C@H]([C@H]2C(=C1O)C(=O)c1c([C@@H]2C)cccc1O)O)O.Cl	
NCGC00166142-04,0,C(=O)(Nc1ccccc1)O[C@H](CN1CCCCC1)COC(=O)Nc1ccccc1.Cl	
NCGC00091195-08,0,Oc1c(cc(c(c1Cc1c(c(cc(c1Cl)Cl)Cl)O)Cl)Cl)Cl	
NCGC00160556-02,0,Oc1c(cc(I)cc1I)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)c(c1)Cl	
NCGC00164034-05,0,O=C(Nc1ccc(cc1)Cl)Nc1ccc(c(Cl)c1)Cl	
NCGC00015254-20,0,c1(Cl)ccc2c(c1)N=C(N1CCN(C)CC1)c1c(N2)cccc1	
NCGC00024778-02,0,CNCCCCOc1c(Cc2ccccc2)cccc1	
NCGC00024379-16,0,c12c(cc(c(c1)OC)OC)[C@H](NCC2)C[C@@H]1[C@H](CN2[C@@H](C1)c1c(CC2)cc(c(c1)OC)OC)CC	
NCGC00163468-05,0,[C@@]12([C@H]3N[C@H]3CN1C1=C([C@H]2COC(=O)N)C(=O)C(=C(C1=O)C)N)OC	
NCGC00025060-15,0,Nc1c2c(nc(n1)N)ncc(n2)CN(c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C	
NCGC00091120-13,0,O=C1c2c(O[C@]31C(=CC(=O)C[C@H]3C)OC)c(Cl)c(OC)cc2OC	
NCGC00169964-05,0,[C@@H]1(C[C@@H](C(=O)[C@@H](C1)[C@@H](CC1CC(=O)NC(=O)C1)O)C)C	
NCGC00263539-01,0,c1ccc2c(c1)snc2N1CCN(CCc2c(Cl)cc3c(c2)CC(=O)N3)CC1	
NCGC00015774-06,0,c1(=O)n(c2c([nH]1)cccc2)CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1	
NCGC00015718-12,0,c1ccc2c(c1OC[C@@H](CN1CCN(c3c(OC)cccc3)CC1)O)cccc2	
NCGC00160566-02,0,c1cc(nc2c1c(cc(c2O)Br)Br)C	
NCGC00160554-02,0,S(=O)(c1c(c(cc(c1)Cl)Cl)O)c1c(c(cc(c1)Cl)Cl)O	
NCGC00159458-05,0,c1(c(n(c(c1c1ccccc1)c1ccc(cc1)F)CC[C@H](C[C@H](CC(=O)[O-])O)O)C(C)C)C(=O)Nc1ccccc1.c1(c(n(c(c1c1ccccc1)c1ccc(cc1)F)CC[C@H](C[C@H](CC(=O)[O-])O)O)C(C)C)C(=O)Nc1ccccc1.[Ca+2]	
NCGC00263480-01,0,[C@@]12(C(=CC(=O)CC2)[C@H](C[C@@H]2[C@@H]1CC[C@@]1([C@@](CC[C@@H]21)(OC(=O)C)C(=O)C)C)C)C	
NCGC00163125-06,1,[C@@]12([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@H](CC4)O)C)CC2)CC[C@@H]1C(=O)C)C	
NCGC00164139-03,0,c1(O)c(cc(cc1)C(CC(C)(C)C)(C)C)n1nc2c(n1)cccc2	
NCGC00017324-07,0,C12=C[C@@H](C[C@@H]([C@@H]1[C@@H](CC[C@H]1OC(=O)C[C@@H](C1)O)[C@H](C=C2)C)OC(=O)C(CC)(C)C)C	
NCGC00159462-04,0,C(=O)(N(Cc1nc(sc1)C(C)C)C)N[C@@H](C(C)C)C(=O)N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(=O)OCc1cncs1)O)Cc1ccccc1	
NCGC00182059-03,0,c1c(ccc(c1C#N)OCC(C)C)c1sc(c(n1)C)C(=O)O	
NCGC00015155-11,0,N(C[C@H](N1CCCC1)COCC(C)C)(Cc1ccccc1)c1ccccc1	
NCGC00091585-05,0,c1ccc(C(=C(C#N)C(=O)OC[C@@H](CC)CCCC)c2ccccc2)cc1	
NCGC00182850-02,0,c1(n2c(nc1c1ccc(cc1)Cl)ccc(c2)Cl)CC(=O)N(CCC)CCC	
NCGC00178069-05,0,N1(CCO[C@@H](c2ccc(cc2)Cl)c2ccccc2)CCCCC1.Cl	
NCGC00250401-02,0,Clc1c(c2oc3c(c(cc(c3[C@@H]3[C@@H](CN(CC3)C)O)O)O)c(=O)c2)cccc1.Cl	
NCGC00182060-03,0,c1(C(=O)CCN[C@H]([C@@H](c2ccccc2)O)C)cc(OC)ccc1.Cl	
NCGC00178369-05,0,Cl.C[C@@H](Cc1cc(ccc1)C(F)(F)F)NCCOC(=O)c1ccccc1	
NCGC00016246-09,0,C(=N)(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1	
NCGC00160412-04,0,c1(c(n(c2c1cc(cc2)C(=O)OCCN(C)C)Cc1ccccc1)C)C	
NCGC00159456-11,0,C1N(CCN(C1)Cc1ccc(cc1)C(=O)Nc1cc(c(cc1)C)Nc1nccc(n1)c1cccnc1)C.CS(=O)(=O)O	
NCGC00018158-09,0,c1(nc(c2c(n1)cc(c(c2)OC)OC)N)N1CCN(C(=O)[C@@H]2Oc3c(OC2)cccc3)CC1.CS(=O)(=O)O	
NCGC00094574-15,0,n1(c2c(cc(cc2Cl)C(F)(F)F)Cl)c(c(c(n1)C#N)[S@](=O)C(F)(F)F)N	
NCGC00160408-03,0,c1(c(oc2c1cccc2)CC)C(=O)c1cc(c(c(c1)I)O)I	
NCGC00095082-06,1,c1c(I)c(N)c(I)c(C[C@@H](C(=O)O)CC)c1I	
NCGC00160665-02,0,[C@H]1(c2ccccc2)CN(CC1)CCC(=O)c1cc2c(cc1)OCCO2	
NCGC00168085-05,0,c1c(cccc1)NC(=O)CCCCCCC(=O)NO	
NCGC00160373-02,0,Nc1ccc(cc1)C(=O)Nc1ccccc1N	
NCGC00178737-05,0,C[C@@H](CN(C)C)CN1c2c(Sc3c1cccc3)cccc2.C[C@@H](CN(C)C)CN1c2c(Sc3c1cccc3)cccc2.O[C@@H]([C@@H](O)C(=O)O)C(=O)O	
NCGC00263572-01,0,n1c(n(nc1c1c(cccc1)O)c1ccc(cc1)C(=O)O)c1c(cccc1)O	
NCGC00015360-08,0,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O	
NCGC00016876-12,0,COC(=O)Nc1[nH]c2c(cc(cc2)SCCC)n1	
NCGC00017257-14,0,c12c3c(ccc1)n(cc3C[C@@H]1[C@@H]2C[C@H](CN1C)CNC(=O)OCc1ccccc1)C	
NCGC00164590-02,0,[C@@]12(OC(=O)CC1)[C@]1(CC[C@@H]3[C@]4(CCC(=O)C=C4[C@H]4[C@@H]([C@H]3[C@@H]1[C@H]1[C@@H]2C1)C4)C)C	
NCGC00159544-03,0,c12n(c3c(CO[C@@]1(CN1CC[C@H](CC1)n1c4c([nH]c1=O)cccc4)C)cccc3)ccc2	
NCGC00025212-08,0,C1C[C@H]2O[C@@H]1[C@]1([C@@]2(C(=O)OC1=O)C)C	
NCGC00263565-01,1,[C@@]12([C@H]([C@H]3[C@@H]([C@@H]4C(=CC(=O)CC4)CC3)CC2)C=C[C@]1(C#C)O)CC	
NCGC00163778-09,0,c1(c(cc(cc1)Cl)Cl)[C@H](Cn1cncc1)OCC=C.S(=O)(=O)(O)O	
NCGC00016765-09,0,c1(C(=O)O)cc(c2c(F)cc(F)cc2)ccc1O	
NCGC00188346-02,0,Nc1ncnc2c1c(c1cc3c(ccc(O)c3)[nH]1)nn2C(C)C	
NCGC00091532-06,0,Oc1c(cc(cc1)Cl)Cc1ccccc1	
NCGC00091183-04,0,Oc1c(Br)cc(Br)cc1Br	
NCGC00094561-06,0,C1([C@@H]([C@H]1C(=O)OCc1cc(Oc2ccccc2)ccc1)C=C(C)C)(C)C	
NCGC00023064-05,0,[C@@]12(C(=CC(=O)CC2)[C@H](C[C@@H]2[C@@H]1CC[C@@]1([C@](CC[C@@H]21)(C(=O)C)O)C)C)C	
NCGC00024246-15,1,CC(=O)[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2C1	
NCGC00263521-01,0,[C@]12([C@@]3([C@H]([C@H]4[C@@H]([C@@]5(C(=CC(=O)C=C5)CC4)C)[C@H](C3)O)C[C@H]2OC(=N1)C)C)C(=O)COC(=O)C	
NCGC00159346-04,0,c1ccc2c(c1)c(CN(C)C/C=C/C#CC(C)(C)C)ccc2	
NCGC00018139-07,0,c1(c(=O)c2c(oc1)cc(OC(C)C)cc2)c1ccccc1	
NCGC00179385-03,0,c1(=O)c(c(n(n1c1ccccc1)C)CN([C@H](C)Cc1ccccc1)C)C(C)C	
NCGC00015121-17,0,c1cccc(OC[C@@H](C)N(CCCl)Cc2ccccc2)c1	
NCGC00015714-16,0,c1cc([C@@H]2C(=C(C)NC(=C2C(=O)OCCOC)C)C(=O)OC(C)C)cc(N(=O)=O)c1	
NCGC00164633-02,0,C1(=C(C(=O)OC)[C@@H](c2ccccc2N(=O)=O)C(=C(C)N1)C(=O)OCC(C)C)C	
NCGC00016960-07,0,C1N(C(=O)C(=C1C)CC)C(=O)NCCc1ccc(S(=O)(=O)NC(=O)N[C@H]2CC[C@@H](CC2)C)cc1	
NCGC00016610-07,0,C(=S)(N(c1cc(ccc1)C)C)Oc1cc2c(cc1)cccc2	
NCGC00016384-15,0,O=S(=O)(c1ccc(cc1)N)Nc1c(c(no1)C)C	
NCGC00015819-15,0,c1(C(=O)CCc2ccccc2)c(OC[C@H](O)CNCCC)cccc1	
NCGC00024777-04,0,CCN(CC)C(=O)c1ccc(cc1)[C@@H](N1C[C@@H](C)N(CC=C)C[C@@H]1C)c1cccc(c1)OC	
NCGC00178697-04,0,Cl.CCc1c2Cn3c(=O)c4c(cc3c2nc2ccc(OC(=O)N3CC[C@H](CC3)N3CCCCC3)cc12)[C@@](O)(CC)C(=O)OC4	
NCGC00016498-08,0,N1(CCC(=O)c2ccc(cc2)OCCCC)CCCCC1.Cl	
NCGC00165846-04,0,n1(c(nn(c1=O)CCCN1CCN(CC1)c1cc(ccc1)Cl)CC)CCOc1ccccc1.Cl	
NCGC00167537-02,0,COc1c(OC)cc2C(=O)[C@@H](CC3CCN(CC3)Cc3ccccc3)Cc2c1.Cl	
NCGC00168254-02,0,c1c(Cl)cc2c(c1)n1c(CN=C2c2ccccc2F)cnc1C.Cl	
NCGC00015985-08,0,CCCCNc1c(C(=O)OCC)c(nc2c1cnn2CC)C.Cl	
NCGC00018100-08,0,C1NCCN(CC1)S(=O)(=O)c1cccc2c1ccnc2.Cl	
NCGC00168464-04,0,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.Cc1ccc(cc1)S(=O)(=O)[O-]	
NCGC00179578-03,0,[C@]12([C@](OC(=O)c3occc3)([C@@H](C[C@H]1[C@H]1[C@@]([C@@]3(C(=CC(=O)C=C3)CC1)C)([C@H](C2)O)Cl)C)C(=O)CCl)C	
NCGC00025179-12,0,C12=C3C(=CC(=O)CC3)CC[C@H]1[C@H]1[C@](C[C@@H]2c2ccc(N(C)C)cc2)([C@](C#CC)(CC1)O)C	
NCGC00017400-10,0,[C@]12(N([C@H](C(=O)N3[C@H]1CCC3)Cc1ccccc1)C(=O)[C@@](O2)(NC(=O)[C@@H]1C[C@@H]2c3c4c(C[C@H]2N(C1)C)c[nH]c4ccc3)C)O	
NCGC00163169-05,0,c1ccc2c(c1)CCc1c(C2=C2CCN(C)CC2)ccs1	
NCGC00015928-05,0,C\1(=C/c2ccc(S(=O)(=O)C)cc2)/C(=C(c2c1ccc(c2)F)CC(=O)O)C	
NCGC00160398-05,0,C(=O)(Oc1cc2c(cc(C(=N)N)cc2)cc1)c1ccc(NC(=N)N)cc1.S(=O)(=O)(O)C	
NCGC00161601-02,0,OC(=O)CC1=C(C)/C(=C/c2ccc(SC)cc2)/c2c1cc(cc2)F	
NCGC00016490-12,0,c1cccc(Nc2cc(C(F)(F)F)ccc2)c1C(=O)O	
NCGC00188865-03,0,Cc1c2ccc(N(c3nc(Nc4cc(S(=O)(=O)N)c(C)cc4)ncc3)C)cc2nn1C	
NCGC00015870-27,1,O=c1c2c(cc(cc2O)O)oc(c1O)c1cc(c(cc1)O)O	
NCGC00181039-02,0,C(=O)(OCC)CCCCCCC/C=C\C/C=C\CCCCC	
NCGC00159551-02,0,C1(=N[C@@H](C(=O)N(c2c1cccc2)C)NC(=O)c1cc2c([nH]1)cccc2)c1ccccc1	
NCGC00160370-02,0,C/C=C/C=N/NC(=O)c1ccncc1	
NCGC00094852-03,0,c1(c(cc(cc1I)C[C@@H](C(=O)O)N)I)Oc1cc(c(c(c1)I)O)I	
NCGC00178555-02,0,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1.OC(=O)C(=O)O	
NCGC00094937-04,0,[nH]1c2c(c3c1ccc(c3)Cl)ccc(c2)[C@H](C(=O)O)C	
NCGC00160527-03,0,c1c(ccc(c1)F)CN1CCO[C@H](C1)CNC(=O)c1c(OCC)cc(c(c1)Cl)N.C(CC(=O)O)(CC(=O)O)(C(=O)O)O	
NCGC00168759-05,0,OC(=O)c1cccc(c1)c1noc(n1)c1ccccc1F	
NCGC00016278-10,0,c1cccc(Nc2cccc(C)c2C)c1C(=O)O	
NCGC00163786-06,0,[C@@H]1(C([C@@H]1C=C(C)C)(C)C)C(=O)OCc1coc(c1)Cc1ccccc1	
NCGC00344565-01,0,n1(c(nc2c1cccc2)N1CCC(CC1)N(C)c1nccc(=O)[nH]1)Cc1ccc(cc1)F	
NCGC00015818-14,0,O=C1N2[C@H](c3c(cccc3)CC2)CN(C1)C(=O)C1CCCCC1	
NCGC00164546-02,0,C1(=C(N2[C@H](S1)[C@H](C2=O)[C@H](O)C)C(=O)O)[C@@H]1OCCC1	
NCGC00166309-02,1,C12=C3C(=CC(=O)CC3)CC[C@H]1[C@H]1[C@](C=C2)([C@](CC1)(O)CC=C)C	
NCGC00091009-07,1,[C@@]12(C(=CC(=O)CC2)CC[C@@H]2[C@@H]1CC[C@]1([C@H]2CC[C@@]1(O)C)C)C	
NCGC00182082-03,0,c1c(ccc(c1)CCOc1ccc(cc1)C[C@@H](OCC)C(=O)O)OS(=O)(=O)C	
NCGC00159336-03,0,S1(=O)(=O)C([C@@H](N2[C@H]1CC2=O)C(=O)O)(C)C	
NCGC00018237-09,0,P(=O)([C@H](C(Cl)(Cl)Cl)O)(OC)OC	
NCGC00259302-01,0,OC(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)C(=O)OCC	
NCGC00095109-08,0,[C@H](C1(O)CCCCC1)(c1ccc(OC)cc1)CN(C)C	
NCGC00094614-06,0,c1(O)cc(c(c(c1)C)Cl)C	
NCGC00094818-09,1,[C@H]([C@H](c1ccc(cc1)O)CC)(c1ccc(cc1)O)CC	
NCGC00164155-02,1,C(=O)(OCc1ccccc1)c1ccc(O)cc1	
NCGC00015558-14,0,c1c(O)c(O)cc([C@@H](O)CNC(C)C)c1	
NCGC00249050-02,0,c1(c(c(c(cc1)O)O)O)C(=O)c1cc(c(c(c1)O)O)O	
NCGC00166134-02,1,[C@@]12([C@H]([C@H]3[C@@H](c4c(CC3)cc(cc4)O)CC2)CC[C@@H]1OC(=O)CCC1CCCC1)C	
NCGC00021304-05,0,[C@@]12([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC[C@@H]1C(=O)CO)C	
NCGC00164503-02,0,OCCNCCCCCCCCCCCCCC.C[C@H](C(=O)O)O	
NCGC00159387-03,0,CCCCCCCCCCCCSCCOCCO	
NCGC00178802-06,0,C(=O)(N(O)CCCCCN)CCC(=O)NCCCCCN(C(=O)CCC(=O)NCCCCCN(C(=O)C)O)O.CS(=O)(=O)O	
NCGC00167467-03,0,[C@@]12([C@H]([C@H]3[C@@H]([C@]4(C[C@@H]([C@H](C[C@@H]4CC3)OC(=O)C)N3CCCCC3)C)CC2)C[C@@H]([C@@H]1OC(=O)C)[N+]1(C)CCCCC1)C.[Br-]	
NCGC00249052-02,0,CC(=O)CCC(=O)[O-].CC(=O)CCC(=O)[O-].[Ca+2]	
NCGC00162116-04,0,[Na+].[C@@H]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)C)C(=O)[O-])NC(=O)CSc1ccncc1	
NCGC00021125-03,0,N(c1c(Cl)cccc1Cl)c1c(CC(=O)[O-])cccc1.[Na+]	
NCGC00023016-07,0,[Na+].[C@@]1(C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])CSc1n(nnn1)C)(NC(=O)CSCC#N)OC	
NCGC00189073-02,1,n1cn(c2c1c(c(c(c2)C(=O)NOCCO)Nc1ccc(cc1Cl)Br)F)C	
NCGC00160438-02,0,c1sc(nc1c1ccccc1)NCCc1ccccc1	
NCGC00095209-06,0,c12c(c3c(cc2ccc(=O)o1)cco3)OCC=C(C)C	
NCGC00167524-02,0,N1(C[C@H](O[C@H](C1)C)C)C[C@H](Cc1ccc(C(CC)(C)C)cc1)C	
NCGC00168352-02,0,N1(C(=O)C2=C(C1=O)CCCC2)COC(=O)[C@H]1C([C@@H]1C=C(C)C)(C)C	
NCGC00063561-03,0,[nH]1cnc(c1c1ccccc1)c1ccccc1	
NCGC00024196-05,0,C12=CC(=O)CC[C@@]1([C@@H]1[C@@H](C=C2C)[C@H]2[C@@]([C@@](CC2)(OC(=O)C)C(=O)C)(CC1)C)C	
NCGC00025004-04,0,c1c(c(ccc1)OC)N1CCN(CC1)CCCCNC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)C	
NCGC00015086-04,0,[C@H](C(=O)O)(NC(=O)C)CS	
NCGC00091761-07,0,Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	
NCGC00167440-02,0,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(cc2)C(C)(C)C)nc(nc1OCCO)c1ncccn1	
NCGC00160640-03,0,[C@@H]12N(C(=O)c3c(n4c1c(nc4)C(=O)OC(C)(C)C)cccc3Br)CCC2	
